"pcs" "RUC" "cs" "reves" "crevpp" "region" "habi" "Ahabi" "Atyph" "agecat" "Acompm" "nbpers" "enfants" "Anat" "Bauto" "Nbadulte" "Sinistre1" "Sinistre2" "Sinistre3" "Police1" "Police2" "Police3" "durPolice1" "Durée" "NSin" "censure" "Sinistre0"
"Employes" 3629.032 "Moyenne Inf" 11250 "2eme quartile" "1" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "21-40" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0 0.92 17.527 13.565 2.1 0.155887853853737 16 5 0 17.5070971796751
"Employes" 11458.33 "Aise" 27500 "4eme quartile" "1" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "61-96" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 1.05 0 1.38 11.85 6.62 1.4 2.20109062260407 220 8 1 20.2391654034137
"Employes" 6500 "Moyenne Inf" 6500 "4eme quartile" "2" "2" "Un. urb. de 2 000 a 9 999 hab." "Locataire" "21-40" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0.4 0 0 0 0.45 0.15 0 30 2 1 19.6777908352727
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "4" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 0.225 5.203 2.54 3.09923044749305 310 0 1 17.1821796493174
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 1.56 0.3 0.58 2.035 3.09923044749305 310 3 1 21.6612553141522
"Retraites" 9558.823 "Moyenne Sup" 16250 "4eme quartile" "5" "6" "Un. urb. de 100 000 hab. et +" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0.4 1.84 1.575 3.975 1.42 4.02412614337837 402 6 1 18.4323873675258
"Retraites" 8500 "Moyenne Sup" 8500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Personne seule" 1 "Pas d'enfants" "Non declare" "Pas de vehicule" 1 0 0 0 2.475 3.53 0.9 10.3796603168738 1038 0 1 19.0588107902237
"Retraites" 6617.647 "Moyenne Sup" 11250 "3eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0.5 0 0.23 5.2 1.635 0.7 2.42693880138681 243 6 1 16.4475348708365
"Ouvriers" 3518.519 "Moyenne Inf" 9500 "1er quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0 3.77 30.705 0.3 0.151157971817947 15 0 0 9.10090230564869
"Employes" 6018.519 "Moyenne Inf" 16250 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Non declare" "Au - 1 vehicule" 2 0 0 0.46 0 11.87 0.55 0 30 5 1 13.1222834232225
"Employes" 2656.25 "Modeste" 8500 "1er quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple avec enfant(s)" 5 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 3.2 0 1.85 0.2 7.084 0.535 0.0560204025886649 6 12 0 8.20851792580056
"Retraites" 3275.862 "Moyenne Inf" 9500 "1er quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 0 47.711 0.465 0 30 0 0 17.4540607164821
"Cadres et prof. intellectuelles sup." 5357.143 "Moyenne Inf" 22500 "2eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Couple avec enfant(s)" 7 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 2.53 4.115 31.41 3.124 0.0119512852777433 1 8 1 10.937700432638
"Ouvriers" 6465.517 "Moyenne Sup" 18750 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 2.12 1.275 20.195 1.365 0.305322898247909 31 5 1 19.2912981544586
"Cadres et prof. intellectuelles sup." 12500 "Aise" 27500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0.82 0 0 0.45 6.855 0.45 2.53057520123677 253 4 1 11.4640909025243
"Employes" 5092.593 "Moyenne Inf" 13750 "2eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 4.84 1.725 22.355 1.5 0.225841964217384 23 5 1 11.1827011823736
"Cadres et prof. intellectuelles sup." 11458.33 "Aise" 27500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 2.3 0 9.5 1.215 0 30 4 1 20.9149070960465
"Employes" 9500 "Moyenne Sup" 9500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Personne seule" 1 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 1 0 0 2.8 4.195 6.87 0.375 10.8294013405376 1083 2 1 16.3795769421346
"Ouvriers" 1511.628 "Modeste" 6500 "1er quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Autre menage" 6 "Pas d'enfants" "Au moins une personne etrangere" "Au - 1 vehicule" 5 1.45 0.43 0 0 11.855 0.15 0 30 7 0 15.8923531083814
"Ouvriers" 2083.333 "Modeste" 7500 "1er quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Autre menage" 5 "Pas d'enfants" "Menage francais" "Pas de vehicule" 4 0 0 0.76 3.3 40.735 1.185 0.0402807373203774 4 6 0 13.8527341135821
"Employes" 7812.5 "Moyenne Sup" 18750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 3.02 0.975 1.785 0.195 1.08286638798256 108 4 1 18.3345975874519
"Retraites" 3055.556 "Moyenne Inf" 13750 "1er quartile" "1" "8" "Paris + Agglomeration" "Locataire" "51-60" "Autre menage" 6 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 6 0 0 2.37 1.5 18.375 4.495 0.0178795584508126 2 7 0 18.1905962228738
"Retraites" 11029.41 "Aise" 18750 "4eme quartile" "5" "3" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 2.32 3.435 3.46 1.495 5.12450155814469 512 3 1 15.0474285878719
"Retraites" 5729.167 "Moyenne Inf" 13750 "3eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0.6 6 3.46 1.8 23.187 3.131 0.745556297258043 75 12 1 18.0313130175247
"Retraites" 4687.5 "Moyenne Inf" 11250 "2eme quartile" "2" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 35.825 10.95 0 0.557390424064978 56 0 1 14.9548059999153
"Retraites" 13235.29 "Aise" 22500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0.3 2.3 1.61 17.84 9.87 4.05 7.33867039440933 734 9 1 19.5852798472671
"Artisans, comm., chefs d'ent." 8522.728 "Moyenne Sup" 18750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0.25 0 1.67 0.79 33.245 0.33 1.26043143671736 126 8 1 10.0390038312316
"Ouvriers" 6617.647 "Moyenne Sup" 11250 "3eme quartile" "1" "1" "Un. urb. de 2 000 a 9 999 hab." "Locataire" "51-60" "Couple sans enfant" 2 "Pas d'enfants" "Au moins une personne etrangere" "Au - 1 vehicule" 2 1.6 0 3.11 1.45 8.295 2.69 2.65992353821412 266 6 1 17.6630936382889
"Professions intermediaires" 9375 "Moyenne Sup" 22500 "4eme quartile" "1" "0" "Communes rurales" "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0.45 0 3.74 2.325 24.068 0.375 1.48931972481175 149 8 1 17.3653556146932
"Autres pers. sans activite prof." 4500 "Moyenne Inf" 4500 "3eme quartile" "1" "0" "Communes rurales" "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0 0 1.15 5.3 0.875 0 4.49396166815599 449 2 0 14.2813667482926
"Employes" 6018.519 "Moyenne Inf" 16250 "3eme quartile" "1" "2" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 4.93 11.65 15.582 1.1 0.277843802487079 28 5 1 3.98074934803835
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "0" "Communes rurales" "Proprietaire" "51-60" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 15.64 0.3 9.5 1.35 3.09923044749305 310 3 1 15.4885611254484
"Retraites" 6770.833 "Moyenne Sup" 16250 "3eme quartile" "1" "0" "Communes rurales" "Proprietaire" "61-96" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 1.29 0.4 18.185 1.525 0.88352919034272 88 4 1 19.283296319762
"Ouvriers" 1406.25 "Modeste" 4500 "1er quartile" "1" "2" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "41-50" "Couple avec enfant(s)" 5 "Au - 1 enfant" "Au moins une personne etrangere" "Au - 1 vehicule" 2 0 0 0 11.9 12.2 1.081 0.0268721010390572 3 0 0 9.21636963715401
"Employes" 9558.823 "Moyenne Sup" 16250 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Au moins une personne etrangere" "Au - 1 vehicule" 2 1.775 0 0.46 1.195 6.56 1.305 4.66563734052633 467 6 1 19.6829121220234
"Professions intermediaires" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "51-60" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0.46 4.95 8.725 0.815 3.09923044749305 310 3 1 17.1354209541154
"Professions intermediaires" 5588.235 "Moyenne Inf" 9500 "3eme quartile" "1" "0" "Communes rurales" "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 2.99 0 2.75 1.255 0 30 3 1 17.8668972630246
"Ouvriers" 13750 "Aise" 13750 "4eme quartile" "1" "1" "Un. urb. de 2 000 a 9 999 hab." "Locataire" "51-60" "Personne seule" 1 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 1 0 0 0 3.47 7.275 0.075 20.9473706638497 2095 0 1 24.2066430912483
"Ouvriers" 4044.118 "Moyenne Inf" 13750 "1er quartile" "1" "0" "Communes rurales" "Proprietaire" "21-40" "Autre menage" 5 "Pas d'enfants" "Au moins une personne etrangere" "Au - 1 vehicule" 3 4.2 0 3.59 5.175 13.195 10.695 0.0910007684454291 9 12 0 19.2695020636694
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "0" "Communes rurales" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 1.075 2.631 3.755 3.09923044749305 310 0 1 18.6046746696117
"Ouvriers" 3197.674 "Moyenne Inf" 13750 "1er quartile" "1" "0" "Communes rurales" "Proprietaire" "41-50" "Autre menage" 6 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 5 0 0 9.66 0.25 49.35 1.45 0.018653266283122 2 7 0 23.6251004676209
"Employes" 4687.5 "Moyenne Inf" 11250 "2eme quartile" "1" "0" "Communes rurales" "Proprietaire" "41-50" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0.94 1.9 37.4 10.749 0.557390424064978 56 4 1 17.7324627401216
"Professions intermediaires" 6944.444 "Moyenne Sup" 18750 "3eme quartile" "1" "0" "Communes rurales" "Locataire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0.8 0.4 1.84 4.105 35.754 2.581 0.359794475800791 36 15 1 9.99906554363817
"Retraites" 13235.29 "Aise" 22500 "4eme quartile" "1" "0" "Communes rurales" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0.4 0 1.92 3.45 9.487 1.195 7.40008150527003 740 6 1 15.3713181324161
"Retraites" 16250 "Aise" 16250 "4eme quartile" "1" "6" "Un. urb. de 100 000 hab. et +" "Proprietaire" "51-60" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0 0 1.2 4.705 1.055 29.4447687083954 2944 0 1 20.3227600384777
"Ouvriers" 5500 "Moyenne Inf" 5500 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "51-60" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0 0 4 1.51 0 4.97984863351715 498 0 1 21.7040729226804
"Professions intermediaires" 6944.444 "Moyenne Sup" 18750 "3eme quartile" "1" "3" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "41-50" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0 1.55 35.59 0.2 0.336590245287429 34 0 1 12.5388919289928
"Professions intermediaires" 5000 "Moyenne Inf" 22500 "2eme quartile" "1" "3" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "51-60" "Autre menage" 6 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 6 0.8 0 0 12.55 32.2 0 0.0319693580445468 3 7 1 20.3291846366194
"Ouvriers" 7386.364 "Moyenne Sup" 16250 "3eme quartile" "1" "3" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "21-40" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 2.3 0.45 3.675 2.225 0.99813369320656 100 4 1 12.4516052479425
"Retraites" 18750 "Aise" 18750 "4eme quartile" "1" "3" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 1 0 0 0 0.875 5.565 2.655 40.3538973725331 4035 0 1 19.0867340652461
"Ouvriers" 5092.593 "Moyenne Inf" 13750 "2eme quartile" "1" "3" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "41-50" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0 4.155 38.415 1.3 0.225841964217384 23 0 1 14.9449507271029
"Employes" 5666.667 "Moyenne Inf" 8500 "3eme quartile" "1" "3" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "21-40" "Autre menage" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0.43 0.76 2.11 12.095 1.5 1.90137171857514 190 6 1 16.2782727180658
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "4" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 0 4.41 4.472 0 30 0 1 18.8667920873033
"Retraites" 7500 "Moyenne Sup" 7500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0 0 0 0 7.055 0.231 0 30 0 1 16.2697105145138
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "4" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "51-60" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 4.315 6.845 1.16 3.09923044749305 310 0 1 19.0899159643314
"Retraites" 9558.823 "Moyenne Sup" 16250 "4eme quartile" "1" "4" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 9 3.82 1.6 4.02412614337837 402 0 1 16.2789122833232
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "5" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 2.875 17.4 0.685 3.09923044749305 310 0 1 19.2529096333306
"Professions intermediaires" 6018.519 "Moyenne Inf" 16250 "3eme quartile" "1" "6" "Un. urb. de 100 000 hab. et +" "Proprietaire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 3.45 3.05 54.912 5.655 0.277843802487079 28 5 1 11.0458513267981
"Ouvriers" 2777.778 "Modeste" 7500 "1er quartile" "1" "6" "Un. urb. de 100 000 hab. et +" "Locataire" "41-50" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0 0.78 21.155 6.72 0.121256678038131 12 0 0 7.61624934762083
"Ouvriers" 16176.47 "Aise" 27500 "4eme quartile" "1" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "51-60" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 2 12.195 0.685 10.7283712221943 1073 0 1 20.9381937301416
"Ouvriers" 6770.833 "Moyenne Sup" 16250 "3eme quartile" "1" "5" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 2.16 2.306 0.725 1.289 0.88352919034272 88 4 1 18.0681633124408
"Autres pers. sans activite prof." 5729.167 "Moyenne Inf" 13750 "3eme quartile" "1" "5" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "41-50" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 1.64 2.5 25.125 1.636 0.709195087573651 71 4 1 19.9170610327372
"Ouvriers" 454.5454 "Modeste" 1000 "1er quartile" "1" "5" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "21-40" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Pas de vehicule" 2 0 0 0.69 1.5 4.41 0.575 0.132302498695169 13 4 0 10.526435185665
"Retraites" 4500 "Moyenne Inf" 4500 "3eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0 0 0 3.35 1 0 4.49396166815599 449 0 0 16.5387447456959
"Retraites" 6617.647 "Moyenne Sup" 11250 "3eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 1.38 0.9 8.187 1.36 2.32789411133931 233 3 1 19.7049714254347
"Autres pers. sans activite prof." 5500 "Moyenne Inf" 13750 "2eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 24.175 0 4.28 41.712 32.126 3.581 1.85889612252626 186 10 1 19.0389369704427
"Professions intermediaires" 2500 "Modeste" 2500 "1er quartile" "1" "8" "Paris + Agglomeration" "Locataire" "51-60" "Personne seule" 1 "Pas d'enfants" "Non declare" "Pas de vehicule" 1 0 0 0 0 1.475 1.64 0 30 0 0 18.7667069820967
"Ouvriers" 3541.667 "Moyenne Inf" 8500 "2eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 2.78 12.725 0.88 0.413566707165779 41 0 0 17.0305946432313
"Employes" 4333.333 "Moyenne Inf" 6500 "2eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Autre menage" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0 0.69 0 7.63 0.375 0 30 3 0 18.4622484389759
"Ouvriers" 13750 "Aise" 13750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "51-60" "Personne seule" 1 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 1 3 0 0 2.5 0 0 26.8969563451621 2690 2 1 22.7668884634612
"Retraites" 5588.235 "Moyenne Inf" 9500 "3eme quartile" "4" "1" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0.8 0 0 0.3 1.06 4.035 1.99734062135047 200 3 1 15.7812134846658
"Retraites" 11250 "Aise" 11250 "4eme quartile" "4" "5" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0.4 2.76 1.2 6.475 1.305 14.4236214235058 1442 4 1 18.6043395760425
"Cadres et prof. intellectuelles sup." 6048.387 "Moyenne Sup" 18750 "3eme quartile" "4" "0" "Communes rurales" "Proprietaire" "41-50" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0 5.85 2.025 6.179 2.835 0.279630147549975 28 5 1 15.6120211054129
"Professions intermediaires" 5113.636 "Moyenne Inf" 11250 "2eme quartile" "4" "0" "Communes rurales" "Locataire" "41-50" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 4.4 0 2.63 0 14.16 1.425 0 30 8 1 16.5779653838304
"Retraites" 2647.059 "Modeste" 4500 "1er quartile" "4" "0" "Communes rurales" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0.4 0 5.3 0 7.17 1.33 0 30 6 0 18.3822425178986
"Cadres et prof. intellectuelles sup." 4687.5 "Moyenne Inf" 11250 "2eme quartile" "4" "0" "Communes rurales" "Proprietaire" "41-50" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 2.16 6.255 5.79 0.557390424064978 56 0 1 16.9881565702804
"Cadres et prof. intellectuelles sup." 5729.167 "Moyenne Inf" 13750 "3eme quartile" "4" "0" "Communes rurales" "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 1.6 11.375 7.419 0.709195087573651 71 0 1 15.790238669526
"Employes" 3879.31 "Moyenne Inf" 11250 "2eme quartile" "4" "5" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "41-50" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 3 0 0.83 1.35 0 4.83 0.25 0 30 10 0 8.97698544035569
"Ouvriers" 7386.364 "Moyenne Sup" 16250 "3eme quartile" "4" "0" "Communes rurales" "Locataire" "41-50" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 1.12 1.2 0 0 6.035 1.745 0 30 8 1 8.36550319960683
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "4" "0" "Communes rurales" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 6.4 9.515 1.175 3.09923044749305 310 0 1 20.7349342579321
"Professions intermediaires" 5588.235 "Moyenne Inf" 9500 "3eme quartile" "4" "0" "Communes rurales" "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 2.86 0 8.491 0 0 30 3 1 15.7886908818901
"Employes" 4166.667 "Moyenne Inf" 11250 "2eme quartile" "4" "7" "Un. urb. de 100 000 hab. et +" "Locataire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 3.9 3.866 7.685 2.204 0.179962071165884 18 5 0 7.36053237767033
"Ouvriers" 9558.823 "Moyenne Sup" 16250 "4eme quartile" "4" "1" "Un. urb. de 2 000 a 9 999 hab." "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0.4 1.6 2.46 0.25 15.28 0.69 4.16052435580112 416 9 1 21.8276036491029
"Employes" 2616.279 "Modeste" 11250 "1er quartile" "4" "3" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "41-50" "Autre menage" 6 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 5 0 0 2.49 6.475 30.094 6.96 0.0155813461361226 2 7 0 16.9400065552967
"Ouvriers" 5092.593 "Moyenne Inf" 13750 "2eme quartile" "4" "4" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0 6.881 23.4 1.119 0.225841964217384 23 0 1 9.15343696453514
"Ouvriers" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "4" "4" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "51-60" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 0 4.185 2.355 0 30 0 1 20.8694564730138
"Cadres et prof. intellectuelles sup." 10156.25 "Moyenne Sup" 32500 "4eme quartile" "4" "4" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "41-50" "Couple avec enfant(s)" 5 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 2.78 2.285 46.446 1.315 0.221486729141196 22 6 1 10.0712461756996
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "4" "4" "Un. urb. de 10 000 a 99 999 hab." "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 6.11 3.5 4.255 0 3.09923044749305 310 3 1 19.979854112123
"Ouvriers" 4296.875 "Moyenne Inf" 13750 "1er quartile" "4" "0" "Communes rurales" "Proprietaire" "21-40" "Couple avec enfant(s)" 5 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0.92 6.98 15.045 20.67 0.0684502391831192 7 6 0 11.0099150385972
"Ouvriers" 4166.667 "Moyenne Inf" 11250 "2eme quartile" "4" "5" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 1.34 0.7 6.08 1.874 0.179962071165884 18 5 0 7.91836519431843
